시군,행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
춘천시,신북읍,계,7503,3763,3740
춘천시,동면,계,19415,9571,9844
춘천시,동산면,계,1451,781,670
춘천시,신동면,계,2604,1351,1253
춘천시,남면,계,1081,588,493
춘천시,서면,계,3720,1915,1805
춘천시,사북면,계,2493,1238,1255
춘천시,북산면,계,969,534,435
춘천시,동내면,계,17087,8517,8570
춘천시,남산면,계,3427,1809,1618
춘천시,교동,계,3548,1839,1709
춘천시,조운동,계,2644,1283,1361
춘천시,약사명동,계,3376,1582,1794
춘천시,근화동,계,8371,4205,4166
춘천시,소양동,계,9181,4513,4668
춘천시,후평1동,계,11419,5708,5711
춘천시,후평2동,계,14470,6884,7586
춘천시,후평3동,계,20551,9799,10752
춘천시,효자1동,계,4356,2162,2194
춘천시,효자2동,계,12029,6321,5708
춘천시,효자3동,계,4420,2225,2195
춘천시,석사동,계,34267,16868,17399
춘천시,퇴계동,계,48247,23257,24990
춘천시,강남동,계,24253,11822,12431
춘천시,신사우동,계,24693,12402,12291
원주시,문막읍,계,18023,9197,8826
원주시,소초면,계,8417,4474,3943
원주시,호저면,계,3648,1919,1729
원주시,지정면,계,29115,14324,14791
원주시,부론면,계,2227,1131,1096
원주시,귀래면,계,2164,1117,1047
원주시,흥업면,계,9376,4961,4415
원주시,판부면,계,7316,3869,3447
원주시,신림면,계,3556,1819,1737
원주시,중앙동,계,2502,1332,1170
원주시,원인동,계,4379,2084,2295
원주시,개운동,계,12724,6096,6628
원주시,명륜1동,계,8279,3972,4307
원주시,명륜2동,계,17098,8234,8864
원주시,단구동,계,44390,21754,22636
원주시,일산동,계,8595,4151,4444
원주시,학성동,계,4625,2276,2349
원주시,단계동,계,28699,13993,14706
원주시,우산동,계,13498,7118,6380
원주시,태장1동,계,10279,5144,5135
원주시,태장2동,계,24722,12378,12344
원주시,봉산동,계,7838,3873,3965
원주시,행구동,계,7785,3877,3908
원주시,무실동,계,34867,17033,17834
원주시,반곡관설동,계,44716,21762,22954
강릉시,주문진읍,계,16665,8136,8529
강릉시,성산면,계,3456,1756,1700
강릉시,왕산면,계,1583,852,731
강릉시,구정면,계,4295,2177,2118
강릉시,강동면,계,4144,2201,1943
강릉시,옥계면,계,3449,1768,1681
강릉시,사천면,계,4691,2427,2264
강릉시,연곡면,계,6337,3176,3161
강릉시,홍제동,계,15173,7412,7761
강릉시,중앙동,계,4765,2307,2458
강릉시,옥천동,계,3361,1743,1618
강릉시,교1동,계,25718,12539,13179
강릉시,교2동,계,7666,3807,3859
강릉시,포남1동,계,10503,5163,5340
강릉시,포남2동,계,12737,6239,6498
강릉시,초당동,계,4714,2290,2424
강릉시,송정동,계,10042,4821,5221
강릉시,내곡동,계,16376,8243,8133
강릉시,강남동,계,17655,8872,8783
강릉시,성덕동,계,27918,13801,14117
강릉시,경포동,계,11278,5742,5536
동해시,천곡동,계,30675,15253,15422
동해시,송정동,계,3701,2030,1671
동해시,북삼동,계,19946,10371,9575
동해시,부곡동,계,4928,2390,2538
동해시,동호동,계,5077,2553,2524
동해시,발한동,계,3311,1675,1636
동해시,묵호동,계,3000,1499,1501
동해시,북평동,계,12825,6616,6209
동해시,망상동,계,3451,1747,1704
동해시,삼화동,계,2760,1446,1314
태백시,황지동,계,5970,2952,3018
태백시,황연동,계,4211,2145,2066
태백시,삼수동,계,5600,2870,2730
태백시,상장동,계,12955,6536,6419
태백시,문곡소도동,계,3787,1902,1885
태백시,장성동,계,3307,1637,1670
태백시,구문소동,계,2466,1296,1170
태백시,철암동,계,1970,1030,940
속초시,영랑동,계,4426,2308,2118
속초시,동명동,계,3513,1772,1741
속초시,금호동,계,6026,2960,3066
속초시,교동,계,9520,4683,4837
속초시,노학동,계,21838,10893,10945
속초시,조양동,계,29276,14288,14988
속초시,청호동,계,4967,2492,2475
속초시,대포동,계,3125,1613,1512
삼척시,도계읍,계,9910,4946,4964
삼척시,원덕읍,계,3194,1683,1511
삼척시,원덕읍임원출장소,계,1699,854,845
삼척시,근덕면,계,5034,2587,2447
삼척시,하장면,계,1283,698,585
삼척시,노곡면,계,711,388,323
삼척시,미로면,계,1802,937,865
삼척시,가곡면,계,668,342,326
삼척시,신기면,계,673,366,307
삼척시,남양동,계,7277,3574,3703
삼척시,교동,계,15611,7951,7660
삼척시,정라동,계,8620,4359,4261
삼척시,성내동,계,7814,3840,3974
홍천군,홍천읍,계,33754,17020,16734
홍천군,화촌면,계,4516,2399,2117
홍천군,두촌면,계,2425,1214,1211
홍천군,내촌면,계,2412,1260,1152
홍천군,서석면,계,3728,1915,1813
홍천군,남면,계,6131,3290,2841
홍천군,서면,계,3801,1994,1807
홍천군,북방면,계,3969,2087,1882
홍천군,내면,계,3112,1663,1449
횡성군,횡성읍,계,20976,10563,10413
횡성군,우천면,계,4444,2343,2101
횡성군,안흥면,계,3190,1646,1544
횡성군,둔내면,계,5865,3050,2815
횡성군,갑천면,계,2440,1267,1173
횡성군,청일면,계,2379,1213,1166
횡성군,공근면,계,3467,1808,1659
횡성군,서원면,계,2078,1107,971
횡성군,강림면,계,1756,929,827
영월군,영월읍,계,20883,10680,10203
영월군,상동읍,계,1012,533,479
영월군,김삿갓면,계,1734,913,821
영월군,북면,계,2069,1085,984
영월군,남면,계,2212,1185,1027
영월군,한반도면,계,1208,668,540
영월군,한반도면쌍용출장소,계,1644,894,750
영월군,주천면,계,3731,1913,1818
영월군,무릉도원면,계,2062,1057,1005
평창군,평창읍,계,8451,4328,4123
평창군,미탄면,계,1623,851,772
평창군,방림면,계,857,447,410
평창군,방림면계촌출장소,계,1702,880,822
평창군,대화면,계,5154,2635,2519
평창군,봉평면,계,5764,3035,2729
평창군,용평면,계,3079,1558,1521
평창군,진부면,계,8554,4321,4233
평창군,대관령면,계,5900,3134,2766
정선군,정선읍,계,10319,5287,5032
정선군,고한읍,계,4363,2297,2066
정선군,사북읍,계,4621,2424,2197
정선군,신동읍,계,1779,935,844
정선군,신동읍함백출장소,계,1594,797,797
정선군,남면,계,3167,1685,1482
정선군,북평면,계,2493,1271,1222
정선군,임계면,계,3465,1836,1629
정선군,화암면,계,1628,893,735
정선군,여량면,계,1972,1035,937
철원군,철원읍,계,5222,2650,2572
철원군,김화읍,계,3397,1806,1591
철원군,갈말읍,계,11825,6324,5501
철원군,동송읍,계,14773,7442,7331
철원군,서면,계,1800,998,802
철원군,서면와수출장소,계,3639,1838,1801
철원군,근남면,계,2154,1137,1017
철원군,근북면,계,106,50,56
화천군,화천읍,계,8269,4301,3968
화천군,간동면,계,2656,1416,1240
화천군,하남면,계,2856,1500,1356
화천군,상서면,계,4070,2464,1606
화천군,사내면,계,6199,3343,2856
양구군,양구읍,계,13802,6994,6808
양구군,동면,계,2037,1128,909
양구군,방산면,계,1272,729,543
양구군,해안면,계,1249,676,573
인제군,인제읍,계,10319,5426,4893
인제군,인제읍귀둔출장소,계,512,269,243
인제군,남면,계,3789,2058,1731
인제군,북면,계,8014,4329,3685
인제군,기린면,계,4996,2726,2270
인제군,서화면,계,2545,1542,1003
인제군,상남면,계,2023,1169,854
고성군,간성읍,계,7110,3757,3353
고성군,거진읍,계,5961,2970,2991
고성군,현내면,계,2297,1126,1171
고성군,죽왕면,계,3456,1781,1675
고성군,토성면,계,8558,4489,4069
양양군,양양군,계,27917,14245,13672
양양군,양양읍,계,12693,6442,6251
양양군,서면,계,2792,1438,1354
양양군,손양면,계,2283,1151,1132
양양군,현북면,계,2609,1348,1261
양양군,현남면,계,2953,1526,1427
양양군,강현면,계,4587,2340,2247
